State,Total Population in 2000,Total Population in 2001,Total Population in 2002,Total Population in 2003,Total Population in 2004,Total Population in 2005,Total Population in 2006,Total Population in 2007,Total Population in 2008,Total Population in 2009,Total Population in 2010,SNAP Participants in 2000,SNAP Participants in 2001,SNAP Participants in 2002,SNAP Participants in 2003,SNAP Participants in 2004,SNAP Participants in 2005,SNAP Participants in 2006,SNAP Participants in 2007,SNAP Participants in 2008,SNAP Participants in 2009,SNAP Participants in 2010,Annual Funding in 2000,Annual Funding in 2001,Annual Funding in 2002,Annual Funding in 2003,Annual Funding in 2004,Annual Funding in 2005,Annual Funding in 2006,Annual Funding in 2007,Annual Funding in 2008,Annual Funding in 2009,Annual Funding in 2010,Population in Poverty in 2000,Population in Poverty in 2006,Population in Poverty in 2007,Population in Poverty in 2010
AL,4447100.0,4464034.0,4472420.0,4490591.0,4512190.0,4545049.0,4597688.0,4637904.0,4677464.0,4708708.0,4785298.0,405325.0,435235.0,463998.0,491910.0,524895.0,542497.0,543920.0,545955.0,571591.0,679138.0,805095.0,348007.0,374806.0,424734.0,475666.0,552949.0,610908.0,581678.0,601413.135,663901.057,970949.096,1226018.708,637119.0,743556.0,750197.0,883078.0
AK,626932.0,633316.0,642691.0,650884.0,661569.0,669488.0,677325.0,682297.0,688125.0,698473.0,713985.0,29473.0,38909.0,43863.0,43794.0,49924.0,51000.0,50122.0,56181.0,56977.0,64385.0,76445.0,45801.0,48019.0,60330.0,61470.0,70646.0,81477.0,85827.0,86084.132,94262.437,129624.461,159413.978,52442.0,71120.0,65266.0,76850.0
AZ,5130632.0,5304417.0,5452108.0,5591206.0,5759425.0,5974834.0,6192100.0,6362241.0,6499377.0,6595778.0,6413737.0,277436.0,355735.0,442945.0,522009.0,546371.0,546411.0,537075.0,544688.0,627660.0,813987.0,1018171.0,245890.0,299331.0,404392.0,523994.0,592602.0,634114.0,622849.0,646750.299,772440.411,1223845.635,1587702.249,646762.0,860355.0,876120.0,1105075.0
AR,2673400.0,2691068.0,2704732.0,2722291.0,2746161.0,2776221.0,2815097.0,2842194.0,2867764.0,2889450.0,2921606.0,251901.0,277277.0,303177.0,336668.0,368272.0,381409.0,381606.0,379768.0,377883.0,411153.0,466598.0,208633.0,231684.0,270245.0,312205.0,362116.0,408080.0,411510.0,412445.881,431547.807,569987.431,686400.617,394960.0,471161.0,483510.0,529710.0
CA,33871648.0,34485623.0,34876194.0,35251107.0,35558419.0,35795255.0,35979208.0,36226122.0,36580371.0,36961664.0,37349363.0,1690077.0,1699342.0,1689369.0,1807695.0,1978075.0,2002960.0,2032366.0,2048185.0,2220127.0,2670341.0,3238548.0,1611956.0,1606305.0,1707234.0,1832305.0,2080685.0,2328572.0,2401037.0,2569814.59,2995179.522,4382007.874,5694137.282,4304909.0,4686706.0,4445392.0,5785036.0
CO,4301261.0,4433068.0,4504265.0,4548775.0,4599681.0,4660780.0,4753044.0,4842259.0,4935213.0,5024748.0,5049071.0,152198.0,171983.0,198401.0,236350.0,245314.0,253007.0,252443.0,250704.0,252933.0,319121.0,404679.0,124813.0,136674.0,170875.0,214610.0,266325.0,320652.0,317684.0,310583.982,325104.191,502657.149,687709.379,384830.0,539332.0,548520.0,651744.0
CT,3405565.0,3428433.0,3448382.0,3467673.0,3474610.0,3477416.0,3485162.0,3488633.0,3502932.0,3518288.0,3577073.0,157935.0,164793.0,177267.0,192577.0,202403.0,209230.0,211298.0,212562.0,225383.0,258165.0,336064.0,135803.0,137083.0,147910.0,172016.0,204302.0,226099.0,242616.0,253062.794,284829.257,417158.566,569684.382,243428.0,281079.0,269045.0,348881.0
DE,783600.0,794620.0,804131.0,814905.0,826639.0,839906.0,853022.0,864896.0,876211.0,885122.0,899769.0,31121.0,37264.0,44427.0,53107.0,60163.0,65166.0,66247.0,67185.0,74429.0,90933.0,112513.0,30921.0,32868.0,40833.0,49822.0,58544.0,66395.0,70629.0,74729.045,86180.751,129098.106,171155.272,67374.0,88749.0,86653.0,104456.0
DC,572059.0,578042.0,579585.0,577777.0,579796.0,582049.0,583978.0,586409.0,590074.0,599657.0,604453.0,74711.0,73800.0,79029.0,85441.0,88321.0,89345.0,87027.0,86519.0,89442.0,103311.0,118493.0,74875.0,70862.0,77074.0,95185.0,96825.0,103043.0,103219.0,103950.879,112324.8,159506.975,195893.308,91435.0,99671.0,95441.0,107279.0
FL,15982378.0,16353869.0,16680309.0,16981183.0,17375259.0,17783868.0,18088505.0,18277888.0,18423878.0,18537969.0,18843326.0,874989.0,963846.0,1033097.0,1140247.0,1279838.0,1260934.0,1215709.0,1232803.0,1454928.0,1952362.0,2603185.0,771170.0,787061.0,891003.0,1035595.0,1495098.0,1757588.0,1345339.0,1400153.858,1778641.937,2968374.682,4416942.533,1877399.0,2232534.0,2167111.0,3048621.0
GA,8186453.0,8419594.0,8585535.0,8735259.0,8913676.0,9097428.0,9330086.0,9533761.0,9697838.0,9829211.0,9712587.0,562715.0,625469.0,715606.0,847886.0,908073.0,932355.0,947057.0,950038.0,1021155.0,1286078.0,1591078.0,489392.0,534064.0,647580.0,820180.0,954654.0,1066457.0,1095010.0,1125954.322,1276750.098,1943839.554,2565169.527,1006329.0,1340255.0,1329161.0,1698004.0
